Rooms,Type,Price,Propertycount,Distance
3,h,1490000,4019,3
3,h,1220000,4019,3
3,h,1420000,4019,3
3,h,1515000,1543,7.5
2,h,670000,3464,10.4
2,t,530000,3464,10.4
2,u,540000,3464,10.4
3,h,715000,3464,10.4
6,h,,1899,14
3,h,1925000,3280,3
3,u,515000,2185,10.5
4,h,717000,2185,10.5
2,h,1675000,2211,5.7
4,h,2008000,2211,5.7
2,h,860000,5301,11
4,h,,7630,15.5
3,h,720000,5132,9.4
2,u,836000,4836,6.3
2,h,2110000,4836,6.3
3,h,1386000,4836,6.3
2,u,580000,4836,6.3
1,u,355000,4836,6.3
3,h,1123100,6567,4.3
3,u,1270000,3052,10.2
4,h,,3052,10.2
3,t,1610000,3052,10.2
4,h,1435000,2894,10.2
4,h,1431000,2824,21.5
4,h,996000,2243,21.5
4,h,,1130,16.5
4,h,825000,4502,9.5
2,u,660800,5682,7.9
2,t,700000,5682,7.9
5,h,2700000,5682,7.9
3,h,2035000,5682,7.9
3,u,955000,5682,7.9
4,h,1810000,5682,7.9
4,h,1850000,7809,9.7
3,h,,7809,9.7
4,h,2600000,7809,9.7
3,h,1220000,7809,9.7
4,h,2470000,7809,9.7
4,h,,7809,9.7
2,u,800000,7809,9.7
4,h,880000,3598,23.2
4,h,1285000,5366,17.3
2,u,835000,5366,17.3
4,h,1445000,5366,17.3
2,t,,5366,17.3
4,h,1435000,5366,17.3
3,u,675000,790,8.8
4,t,1300000,6795,11.4
4,t,1500000,6795,11.4
3,h,1340000,6795,11.4
2,h,,6795,11.4
3,h,1400000,10969,13.8
2,u,,10969,13.8
2,t,775000,10969,13.8
3,t,920000,10969,13.8
2,h,1220000,10969,13.8
2,h,1130000,10969,13.8
4,h,1460000,10969,13.8
3,t,,2866,17.3
4,h,3000000,2866,17.3
4,h,1200000,5713,13.4
4,h,1410000,5713,13.4
3,h,1110000,5713,13.4
4,h,960000,2867,13.4
5,h,1090000,2867,13.4
3,h,980000,4387,13.4
